用户ID, 用户昵称, 用户头像地址, 评论时间, 点赞总数, 评论内容
115821315, 盼盼乳业, http://p1.music.126.net/AVdNwVxcuzHcCWH5tty1wA==/3445869450818942.jpg, 1508311179884, 0, 手游主题曲要都有这水平，我就不会老想着窦唯了
43954425, 混合型, http://p1.music.126.net/O1ZV8y1ovjuu4FHQoLRq2g==/1400777824153984.jpg, 1508310573603, 0, 一听就是广告[大哭]
7119581, 零式無明, http://p1.music.126.net/1Cb_6BLmeolzylx8wYfMRA==/2946691242143719.jpg, 1508310315573, 0, 惊了，窦仙给手游写主题曲了
291077557, 我的名字叫烈酒, http://p1.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg, 1508310310196, 1, 去他娘的那么多有的没的，窦唯开口唱歌不好么。反正我听了N遍还是不错的呢。管那么多有的没做什么，矫情！
58417269, 吃桃不吃, http://p1.music.126.net/0bEOOv7yVa0L4SglOXYQFg==/7867005697225453.jpg, 1508309406418, 0, 为商业定制的音乐，大家何必那么认真，周杰伦的英雄又有几个人听很多遍？
61126305, 原始森林公园, http://p1.music.126.net/S4ZTS5G4I_yU7ZP8T2Uq6g==/19217264230372013.jpg, 1508307961608, 0, 谢谢啦[大笑]
61126305, 原始森林公园, http://p1.music.126.net/S4ZTS5G4I_yU7ZP8T2Uq6g==/19217264230372013.jpg, 1508307952307, 0, 嗯[憨笑]
124107061, 萌萌哒肉丝, http://p1.music.126.net/3l6dCOOnv9ru7f1eIKt0Xw==/1401877334014150.jpg, 1508307927303, 1, 先生如泥瓦匠接了一贴瓷砖的活儿，贴的时候一如既往的认真。一堆人如丧考妣，疾呼设计大师贴的外墙没有和先生以前设计的大楼一样，达到摄人心魄眼前一亮的高度。尤其这个瓷砖贴得太过方正，我们不能够拿先生的名字出去招摇了。先生为之一哂。
109965031, 也拟疏狂图一醉, http://p1.music.126.net/CsbI1uDfqTQrqzb3VL0nDA==/2882919491405492.jpg, 1508305903480, 0, 难听？确实可能不如前几张专，然而我觉得比市面上80%新专都好听🙂
102117827, 十乂, http://p1.music.126.net/xdZAMwGqfxC_gkx1PeXfrg==/3385396304093170.jpg, 1508305683407, 1, 谁说福声唱片是窦唯唯一指定唱片店？
85166781, 影流人UmbraF12, http://p1.music.126.net/jjEtzi4FgyXDk_LAOL1j-A==/18623527953288961.jpg, 1508305019692, 0, 你没玩过这款游戏吧, 真的很不上档次
119672495, 佩珀军士的孤独之心俱乐部门童, http://p1.music.126.net/vxAe-JGNvDrsElBAsY_mNg==/18666408906755180.jpg, 1508304225104, 2, 评论别扯啥淡了。这就是一首商业作品。窦唯不是仙，他就是个音乐人。现在满足歌迷的愿望开口唱歌了，他也需要赚钱，其他的我们没资格评判。
99546568, 绚蓝天空的小屋, http://p1.music.126.net/mxtyKYNDEs9cmuh_duLgwQ==/3383197279752643.jpg, 1508303468349, 1, 这首歌如果结合这款游戏，那绝对很赞，而官方发布的宣传动画MV做的却配不上这首歌，很粗糙！
68006874, 呵_呵_哒--, http://p1.music.126.net/DEyt1YdAjlK7dUnkQsLYQw==/3420580733674218.jpg, 1508303130581, 1, 真难听
274886416, KKKKirrys, http://p1.music.126.net/xUeqZz381AblazxF7SUKQg==/19106213556231542.jpg, 1508302044494, 0, 编曲可以
